tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
32380734,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
32423000,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
17626000,180,11,Open Tender,Department of Tourism,2016-2017,
2000000,365,3,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
2300000,365,2,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
10000000,365,5,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
5500000,365,6,Open Tender,Director- Fire and Emergency Services-Assam,2016-2017,
24000000,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
11700000,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
2585000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
2000000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
5000000,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
78622066,180,7,Open Tender,Department of Tourism,2016-2017,
178946910,180,1,Open Tender,Department of Tourism,2016-2017,
37217156,180,2,Open Tender,Department of Tourism,2016-2017,
2000000,90,1,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
3000000,90,1,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,90,4,Open Tender,Taxation Department,2016-2017,
38822250,60,9,Open Tender,Public Health Engineering Department,2016-2017,
37773000,60,10,Open Tender,Public Health Engineering Department,2016-2017,
24132750,60,10,Open Tender,Public Health Engineering Department,2016-2017,
7500000,180,3,Limited,Principal Secretary-Department of Information Technology,2016-2017,
10830547,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
24565300,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
600000,90,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
8819000,180,4,Open Tender,Principal Secretary- P and RD- Assam Secretariat,2016-2017,
22500000,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
16951761,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
41060000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
61142918,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
15461862,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
17020855,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
27216988,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
38513971,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
32971289,180,6,Open Tender,Department of Water Resources,2016-2017,
19462824,180,6,Open Tender,Department of Water Resources,2016-2017,
463762,180,5,Open Tender,Department of Water Resources,2016-2017,
18200000,60,3,Open Tender,Public Health Engineering Department,2016-2017,
17501000,180,7,Open Tender,Department of Water Resources,2016-2017,
10830553,180,3,Open Tender,National Health Mission,2016-2017,
7811532,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7811532,60,3,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7811532,60,2,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7897331,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7983132,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7983132,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7983132,60,7,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
7983132,60,1,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
