tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
2499620,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499876,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
3959900,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
2264396,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
10000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
3000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
9986912,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9826149,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9488379,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8963239,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9886289,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9421442,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8298075,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8199684,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5998486,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6282729,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5766925,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7568620,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7461598,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7714836,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
17237627,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6820836,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8599765,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9100000,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
20000000,180,1,Open Tender,Public Works Roads Department,2016-2017,
491700000,180,2,Open Tender,Public Works Roads Department,2016-2017,
100258000,180,2,Open Tender,Public Works Roads Department,2016-2017,
317209000,180,2,Open Tender,Public Works Roads Department,2016-2017,
14254000,180,4,Open Tender,Public Works Roads Department,2016-2017,
30000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
403754582,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
50000000,180,4,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
147297785,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
19803960000,90,5,Open Tender,Food Civil Supplies and Consumer Affairs Department,2016-2017,
6023950,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4415388,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7467695,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7267981,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7145552,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6321787,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6334663,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7170234,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7284406,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9989677,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9997079,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8993479,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5914852,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6263375,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7356833,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
1994558,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
1991970,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6582550,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3988346,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7750343,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
19538934,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9649340,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4944216,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9261179,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3698138,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6987868,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9799892,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8849833,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4833186,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7893101,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8107507,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4937351,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4952012,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
29915603,180,3,Open Tender,Department of Water Resources,2016-2017,
49244469,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499997,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4172412,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3961137,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7426137,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6930677,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9789245,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4653609,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
151338636,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2160000,120,1,Open Tender,Directorate of Sports and Youth Welfare - Assam,2016-2017,
26116044,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
7947670,180,2,Open Tender,Department of Water Resources,2016-2017,
8000,365,1,Open Tender,Health and Family Welfare Department,2016-2017,
19635000,180,2,Open Tender,Irrigation Department,2016-2017,
19511300,180,3,Open Tender,Irrigation Department,2016-2017,
9861000,180,4,Open Tender,Irrigation Department,2016-2017,
19423700,180,2,Open Tender,Irrigation Department,2016-2017,
16810000,180,3,Open Tender,Irrigation Department,2016-2017,
4308945,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
5026980,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5000000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
19149400,180,3,Open Tender,Department of Tourism,2016-2017,
56088481,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
40500000,60,9,Open Tender,Public Health Engineering Department,2016-2017,
0,240,3,Open Tender,Assam Police,2016-2017,
64000000,365,3,Open Tender,Department of Science and Technology,2016-2017,
7722000,180,3,Open Tender,Department of Water Resources,2016-2017,
8728998,180,5,Open Tender,Department of Water Resources,2016-2017,
366638,180,4,Open Tender,Department of Water Resources,2016-2017,
8066911,180,4,Open Tender,Department of Water Resources,2016-2017,
7951296,180,5,Open Tender,Department of Water Resources,2016-2017,
27000000,180,2,Open Tender,Department of Water Resources,2016-2017,
1930000,180,2,Open Tender,Department of Water Resources,2016-2017,
731000,180,2,Open Tender,Department of Water Resources,2016-2017,
16351884,180,8,Open Tender,Department of Water Resources,2016-2017,
2665852,180,21,Open Tender,Department of Water Resources,2016-2017,
2814569,180,17,Open Tender,Department of Water Resources,2016-2017,
363780,180,11,Open Tender,Department of Water Resources,2016-2017,
135920,180,5,Open Tender,Department of Water Resources,2016-2017,
1464926,180,17,Open Tender,Department of Water Resources,2016-2017,
9959763,180,14,Open Tender,Department of Water Resources,2016-2017,
14492790,180,1,Open Tender,Department of Water Resources,2016-2017,
9335707,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9958000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3599843,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3189074,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2584744,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6329193,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6520946,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9989687,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6629810,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6724655,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6778212,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9792297,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8497250,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9988080,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5740626,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7920812,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5849992,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4999998,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6982644,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6093751,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2574254,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2772041,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5815861,180,7,Open Tender,Industries and Commerce Department,2016-2017,
7307629,180,7,Open Tender,Industries and Commerce Department,2016-2017,
15229231,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
19832569,180,1,Open Tender,Department of Tourism,2016-2017,
4000000,180,8,Open Tender,Department of Handloom Textile and Sericulture,2016-2017,
4000000,180,3,Open Tender,Department of Handloom Textile and Sericulture,2016-2017,
4000000,180,5,Open Tender,Department of Handloom Textile and Sericulture,2016-2017,
4000000,180,4,Open Tender,Department of Handloom Textile and Sericulture,2016-2017,
4000000,180,6,Open Tender,Department of Handloom Textile and Sericulture,2016-2017,
4000000,180,1,Open Tender,Department of Handloom Textile and Sericulture,2016-2017,
0,90,0,Open Tender,Higher Education (Technical) Department,2016-2017,
13000000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4160000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
31134932,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
14999580,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3948578,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9497877,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5946702,180,4,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2888948,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3301656,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7176753,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5759412,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9629150,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4352833,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4467975,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4944819,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5265695,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6539323,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9692492,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3233214,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9489053,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4774421,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5937026,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7999762,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5039060,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8039073,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8382398,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5324215,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9897006,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4997762,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4997760,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3960866,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9899494,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6849534,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9858604,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4071800,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4935930,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3107646,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3591189,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2333193,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9828935,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9197024,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5497068,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8594137,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5314028,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5906799,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4596857,90,6,Open Tender,Industries and Commerce Department,2016-2017,
2430656,60,4,Open Tender,Department of Labour and Welfare,2016-2017,
1441804,60,4,Open Tender,Department of Labour and Welfare,2016-2017,
1127540,60,4,Open Tender,Department of Labour and Welfare,2016-2017,
800000000,180,3,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
23981082,180,0,Open Tender,Department of Water Resources,2016-2017,
30834364,180,3,Open Tender,Department of Water Resources,2016-2017,
2500000,180,0,Open Tender,Department of Water Resources,2016-2017,
5000000,90,1,Open Tender,Department of Water Resources,2016-2017,
6000000,150,1,Open Tender,National Health Mission,2016-2017,
1729465,90,1,Open Tender,Department of Water Resources,2016-2017,
11592690,90,3,Open Tender,Department of Water Resources,2016-2017,
5087000,90,1,Open Tender,Department of Water Resources,2016-2017,
0,90,4,Open Tender,Higher Education (Technical) Department,2016-2017,
2938950,90,8,Open Tender,Department of Water Resources,2016-2017,
3650000,180,2,Open Tender,Principal Secretary- P and RD- Assam Secretariat,2016-2017,
15297158,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7295009,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
14861112,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6729912,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8999999,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6030757,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5628488,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4474883,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10805998,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8194917,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7470998,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9499963,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8580000,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7943092,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9475164,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9166936,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6206895,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5436720,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3954364,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6461271,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8855958,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4634775,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5681125,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2405570,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2069760,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
2477580,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
2112490,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
2247920,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
23981082,180,2,Open Tender,Department of Water Resources,2016-2017,
2650478,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2141440,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2230351,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2275734,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2302930,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2302930,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2596653,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
3104474,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
2006560,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
3287820,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
2738260,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
2499853,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
20000000,180,2,Open Tender,Industries and Commerce Department,2016-2017,
148514774,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
146996842,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
35196315,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
257379280,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
202436217,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
156461407,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
16500516,180,5,Open Tender,Public Works Building and NH Department,2016-2017,
13636967,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
6926887,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
0,180,5,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
0,365,15,Open Tender,Food Civil Supplies and Consumer Affairs Department,2016-2017,
0,365,3,Open Tender,Food Civil Supplies and Consumer Affairs Department,2016-2017,
9820000,180,2,Open Tender,Irrigation Department,2016-2017,
1500000,180,1,Open Tender,Industries and Commerce Department,2016-2017,
6540000,180,2,Open Tender,Irrigation Department,2016-2017,
6540000,180,2,Open Tender,Irrigation Department,2016-2017,
106233774,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
16167045,180,2,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
360000000,180,2,Open Tender,National Health Mission,2016-2017,
9270079,180,0,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
7700000,60,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
94864127,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
20000000,60,4,Open Tender,Tea Tribes Welfare Department,2016-2017,
7999689,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2999744,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3053096,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2174654,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499630,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499783,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6933000,180,2,Open Tender,Bodoland Territorial Council,2016-2017,
8667000,180,2,Open Tender,Bodoland Territorial Council,2016-2017,
30298580,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
0,180,3,Open Tender,Industries and Commerce Department,2016-2017,
0,180,3,Open Tender,Industries and Commerce Department,2016-2017,
1849736,180,2,Open Tender,Industries and Commerce Department,2016-2017,
1808471,180,5,Open Tender,Industries and Commerce Department,2016-2017,
0,180,1,Open Tender,Mines  and Minerals Department,2016-2017,
0,180,0,Open Tender,Mines  and Minerals Department,2016-2017,
1933392,180,0,Open Tender,Department of Water Resources,2016-2017,
100000,180,2,Open Tender,Industries and Commerce Department,2016-2017,
7224645,180,0,Open Tender,Department of Water Resources,2016-2017,
74253721,180,0,Open Tender,Department of Water Resources,2016-2017,
32140284,180,0,Open Tender,Department of Water Resources,2016-2017,
359687,180,0,Open Tender,Department of Water Resources,2016-2017,
16035463,180,7,Open Tender,Department of Water Resources,2016-2017,
16035463,180,4,Open Tender,Department of Water Resources,2016-2017,
0,45,0,Open Tender,Department of Higher Education,2016-2017,
0,45,0,Open Tender,Department of Higher Education,2016-2017,
0,45,0,Open Tender,Department of Higher Education,2016-2017,
0,45,0,Open Tender,Department of Higher Education,2016-2017,
0,45,0,Open Tender,Department of Higher Education,2016-2017,
0,180,5,Open Tender,Assam Electricity Grid Corporation Ltd,2016-2017,
38497565,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10000000,90,3,Limited,Health and Family Welfare Department,2016-2017,
39522586,180,5,Open Tender,Department of Water Resources,2016-2017,
34784486,180,7,Open Tender,Department of Water Resources,2016-2017,
63100000,180,3,Open Tender,Assam Power Distribution Company Ltd,2016-2017,
77100000,180,2,Open Tender,Assam Power Distribution Company Ltd,2016-2017,
4455372,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5934117,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3828916,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4381369,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10499936,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2265698,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2970145,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3447189,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4629235,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4625684,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6833717,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6480347,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8749013,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9743933,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4987466,45,6,Open Tender,Public Works Building and NH Department,2016-2017,
5000000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
2638613,180,0,Open Tender,Department of Water Resources,2016-2017,
0,180,6,Open Tender,Gauhati High Court - Guwahati,2016-2017,
0,180,4,Open Tender,Gauhati High Court - Guwahati,2016-2017,
0,180,4,Open Tender,Gauhati High Court - Guwahati,2016-2017,
0,180,6,Open Tender,Assam Police,2016-2017,
2700000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
18000000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
4956500,90,0,Open Tender,Information and Public Relations Department,2016-2017,
0,90,4,Open Tender,Higher Education (Technical) Department,2016-2017,
2253534,180,1,Open Tender,National Health Mission,2016-2017,
4705000,120,2,Open Tender,Industries and Commerce Department,2016-2017,
3504295,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
2638613,180,10,Open Tender,Department of Water Resources,2016-2017,
6539881,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4835379,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9223455,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7417488,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2026266,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2763090,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7635782,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8220724,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8765418,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4922560,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6465278,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
19273586,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9999984,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5345761,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5787300,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7927951,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6323701,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4718486,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3105397,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9799902,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9870000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9899999,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9940000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9980000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9099858,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9099535,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9629786,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9599877,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9972933,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9998999,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9987980,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9989992,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
11017840,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6624501,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9337999,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9838409,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4316557,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3509755,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
76396600,180,4,Open Tender,Irrigation Department,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
10800619,60,0,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
3317235,180,10,Open Tender,Department of Water Resources,2016-2017,
1285335,180,7,Open Tender,Department of Water Resources,2016-2017,
7995400,180,1,Open Tender,Irrigation Department,2016-2017,
2096000,180,1,Open Tender,Irrigation Department,2016-2017,
2089500,180,1,Open Tender,Irrigation Department,2016-2017,
8399000,180,1,Open Tender,Irrigation Department,2016-2017,
4597309,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7969648,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5025937,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9987463,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9075910,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9856449,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6945650,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7076242,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7280199,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9297806,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8127025,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
24676792,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9979488,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3069316,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
