amount,risk_score,risk_grade,risk_reasons
9000000,7.162211226773316,Low,['No strong anomaly indicator']
31775000,44.25530358022943,Medium,['No strong anomaly indicator']
1297400000,72.01509223937695,High,['Unusually high contract value']
25996244,5.416687809340289,Low,['No strong anomaly indicator']
5000000,4.890038366037167,Low,['No strong anomaly indicator']
16151742,7.434254273096933,Low,['No strong anomaly indicator']
18424575,10.904502420549377,Low,['No strong anomaly indicator']
29508285,19.773510914152954,Low,['No strong anomaly indicator']
29818895,17.47200782567006,Low,['No strong anomaly indicator']
17817979,24.647203801071225,Low,['No strong anomaly indicator']
7967277,7.028764185653088,Low,['No strong anomaly indicator']
8245584,6.955744348124952,Low,['No strong anomaly indicator']
9684144,14.735750531206033,Low,['No strong anomaly indicator']
3999000,15.738590591500142,Low,['No strong anomaly indicator']
4653609,1.2227567453086436,Low,['No strong anomaly indicator']
6930677,0.5724438023456813,Low,['No strong anomaly indicator']
9789245,0.32072746259537865,Low,['No strong anomaly indicator']
7426137,0.2296658183506466,Low,['No strong anomaly indicator']
50000000,30.36444124872449,Low,['Unusually high contract value']
44858302,22.7517567900698,Low,['Unusually high contract value']
4528848,1.4448881686919748,Low,['No strong anomaly indicator']
7920572,0.0,Low,['No strong anomaly indicator']
23760000,45.83111191790008,Medium,['No strong anomaly indicator']
100800000,57.2414455816174,Medium,['Unusually high contract value']
8000,36.85073326236798,Low,['Low bidder competition']
2160000,17.965872649595948,Low,['Low bidder competition']
29300000,49.65279815346952,Medium,['No strong anomaly indicator']
29300000,48.930326271352975,Medium,['No strong anomaly indicator']
1268900000,72.01509223937695,High,['Unusually high contract value']
10000000,20.423367968925806,Low,['No strong anomaly indicator']
40000000,30.1631569475186,Low,['Unusually high contract value']
20000000,22.810532109478427,Low,['No strong anomaly indicator']
10000000,30.404059781343445,Low,['No strong anomaly indicator']
10000000,35.153506910283696,Low,['No strong anomaly indicator']
17500000,5.161298719232285,Low,['Low bidder competition']
20000000,3.627808328120942,Low,['No strong anomaly indicator']
24000000,7.84344512356369,Low,['Low bidder competition']
7467058,12.322571762136779,Low,['No strong anomaly indicator']
13150000,10.085344489883006,Low,['No strong anomaly indicator']
800000,12.810711878952397,Low,['Low bidder competition']
126000000,55.2409335247059,Medium,['Unusually high contract value']
33000000,57.8366136213129,Medium,['No strong anomaly indicator']
10523000,36.66859575282226,Low,['No strong anomaly indicator']
4596857,10.487081727956017,Low,['No strong anomaly indicator']
7000000,17.945426572913885,Low,['No strong anomaly indicator']
8038173,25.358158576450506,Low,['No strong anomaly indicator']
578026,9.69066238297772,Low,['No strong anomaly indicator']
0,12.075363729426154,Low,['Low bidder competition']
385090,9.748166033654911,Low,['No strong anomaly indicator']
39889883,20.6543947914847,Low,['Unusually high contract value']
1127781,21.035714614955722,Low,['No strong anomaly indicator']
1519690,20.68254628497321,Low,['No strong anomaly indicator']
21277243,22.453837077734317,Low,['No strong anomaly indicator']
980088,9.52936123823855,Low,['No strong anomaly indicator']
10109549,8.854040422361656,Low,['No strong anomaly indicator']
10902095,25.64608536170523,Low,['No strong anomaly indicator']
11374362,13.048419195641618,Low,['No strong anomaly indicator']
350924,8.072048268269775,Low,['No strong anomaly indicator']
22311008,17.333069559516424,Low,['No strong anomaly indicator']
12772106,12.694026802048025,Low,['No strong anomaly indicator']
14409005,20.099308820883223,Low,['No strong anomaly indicator']
0,12.075363729426154,Low,['Low bidder competition']
35539957,14.739540949436787,Low,['No strong anomaly indicator']
15312316,29.774472084877353,Low,['No strong anomaly indicator']
12025307,9.677995669077788,Low,['No strong anomaly indicator']
28939204,15.01338634891992,Low,['No strong anomaly indicator']
20859516,16.765588266509507,Low,['No strong anomaly indicator']
12441168,15.287103676493377,Low,['No strong anomaly indicator']
12954067,13.735075538595193,Low,['No strong anomaly indicator']
10183743,10.566299416004263,Low,['No strong anomaly indicator']
11594205,14.976539147192838,Low,['No strong anomaly indicator']
15880882,27.94509133690004,Low,['No strong anomaly indicator']
19967477,25.8981894273199,Low,['No strong anomaly indicator']
0,7.7901029960007975,Low,['Low bidder competition']
16083696,15.779909217267083,Low,['No strong anomaly indicator']
0,6.655696823032869,Low,['No strong anomaly indicator']
2925000,19.714418533954287,Low,['Low bidder competition']
29577280,28.049121166941774,Low,['No strong anomaly indicator']
11425000,16.431913199676487,Low,['No strong anomaly indicator']
0,12.075363729426154,Low,['Low bidder competition']
11640000,15.829913909933165,Low,['No strong anomaly indicator']
5040758,21.278384026073216,Low,['No strong anomaly indicator']
11214668,5.910550727063864,Low,['No strong anomaly indicator']
815659,46.84628854149197,Medium,['No strong anomaly indicator']
251975,59.21446756830227,Medium,['No strong anomaly indicator']
3013000,12.83275493344626,Low,['No strong anomaly indicator']
1366038,64.51521255755992,Medium,['No strong anomaly indicator']
1333860,64.51521255755992,Medium,['No strong anomaly indicator']
7722000,9.181930501267132,Low,['Low bidder competition']
